text,song,artist
"Say it isn't so...  
Say it isn't so.  
Everyone is saying you don't love me,  
Say it isn't so.  
  
Everywhere I go,  
Everyone I know  
Whispers that you're growing tired of me,  
Say it isn't so.  
  
People say that you  
Found somebody new,  
And it won't be long before you leave me,  
Say it isn't true.  
  
Say that everything is still okay,  
That's all I want to know.  
And what they're saying,  
Say it isn't so.  
  
People say passing by  
Say he's younger than I  
And it won't be long before you leave me,  
Tell me it's a lie.  
  
Say that everything is still okay,  
That's all I want to know.  
And what they're saying,  
Say it isn't so.

",Say It Isn't So,Nat King Cole
"I wish I knew how, it would feel, to be free  
I wish I could break, all the chains, holding me  
And I wish I could say, all the things, that I should say  
Say 'em loud, say 'em clear, for the whole world to hear  
  
I wish I could share, all the love, that's in my heart  
Remove all the bars, that keep, us apart  
And I wish you could know, what it means, to be me  
Then you'd see, and agree, that every man, should be free  
  
I wish I could give, I'm longing to give  
And I wish I could live, like I'm longing to live  
And I wish I could do, all the things I can do  
Though I'm way overdue, I'd be starting to move  
  
Well I wish I could be, like a bird up in the sky  
How sweet it would be, if I found I could fly  
Well I'd soar to the sun, then I'd look down at the sea  
Then I'd sing cause I'd know  
Yes I'd, sing cause I'd know  
Sing cause I know  
I know I'm free, yeah  
Yes I know I'm free

",I Wish I Knew How It Would Feel to Be Free,John Legend
"Every photograph is peeling  
The colors turn to gray, this day  
There is always memories for days, these days  
An undertow of futures laid to waste, embraced  
By the loss of one he could not replace  
And there's no reason that she'd pass  
And there is no god with the plan, it's sad  
And his holiness is proof, it's said  
He could only know how you have sinned  
The world swings through a passing fable  
A fate we made a way, we say  
Holding on, live within our own ways  
He lit a match, he laid in bed  
Hoping their dreams will bring her back, it's sad  
And his holiness is proof, they said  
He could only love you, it's said  
Oh in his last breath, believing  
He'll make his way  
If she's not forgotten  
He's haunted  
He's searching for escape  
If just one wish could bring her back, it's sent  
And his holiness is proof, it's said  
He will always love you, he said

",Letter To The Dead,Pearl Jam
"Chorus  
That's the fire, that's the fire, that's the fire  
That's the fire, that's the fire, that's the fire  
That's the fire, that's the fire, that's the fire  
  
That's the fire, that's the fire, that's the fire, what  
That's the fire, that's the fire, that's the fire, what  
That's the fire, that's the fire, that's the fire, what  
  
Better run, better run run, uh  
Better run, better run run, lets go there (oh yeah)  
Lets go there (oh yeah)  
  
[MC Hammer - Verse 1]  
Lets go where the lights is hot  
Gotta back up on the sh-t he pop  
Lets go there, the game is so cold  
I could see it in his eyes, the boy sold his soul  
Devil said I'ma give you the World  
""I'll take it, plus give me a girl""  
Mr Devil can you give me a sign  
He said ""Throw the Roc up, that's one of mine""  
  
Lets go  
  
[Chorus]  
  
[MC Hammer - Verse 2]  
Yo Jay, I got a Reasonable Doubt  
If I knocked on your door would you come on out  
If I knocked on your door that mean I'm knocking you out  
If I knocked on your door boy, I'll buss ya in ya mouth  
Uh, see me son I don't play  
I come from the shoulders that due the hard way  
New rules, let me show you the way  
If a rapper talk tough he gotta back up what he say  
  
[Chorus]  
  
[MC Hammer - Verse 3]  
I don't really have to go in on the fella  
But that dude wrote back to devil  
Nah nah I don't roc-your-wear  
Your shoes I don't need a dark pair  
That boy tried to steal my swag  
Fingerprints all over the bag  
Imposter get him outta here  
Imposter the king is right here, lets go  
  
[Chorus]  
  
Yeah you're now rocking with the king of heart  
The king of heart, tearing all imposters apart  
Yeah, king, king, king, king, king, king, king...  
  
Lets go  
  
[Chorus]  
[End]

",Better Run Run,Mc Hammer
"Sinabi ko na sa aking sarili  
Na di na iibig pang muli  
Nasaktan nang minsan  
Pilit kong iiwasan  
Ang iyong ngiti  
Chorus:  
Ayoko na sanang magmahal  
Ayoko na sanang umibig pa  
Ayoko na sanang masaktan  
Ang puso kong laging nagdurusa  
Ayoko na sanang mabigo  
At paglaruan ang aking puso  
Ayoko na sana  
Ayoko na sana  
Maraming pangarap na di nabuo  
Maraming pangako naglaho  
Di lang miminsan na nabigo  
Sa pagsubok ng mundo  
(Repeat Chorus)  
Ngunit nang ika'y lumayo  
Mundo ko'y biglang huminto  
Sana'y magbalik ka sa akin sinta

",Ayoko Na Sana,Ariel Rivera
"(graham russell)  
A long time ago, from the valley of the sun  
Came the holy power,  
When the gods were one  
Searching for a new home,  
Searching for this land  
Guided by the stars, and a vision they had seen  
The pillars of the temple,  
In these hills of green  
Buried deep inside for only us to find  
(chorus)  
It is the roar of the wind,  
The power of the sun  
The strength of a thousand bows  
And those who near it again, will fear it again  
And it's here in the heart of the rose  
Painted in the sky was the moment to awake  
All that lay within you,  
As this dawn should break  
With this force awoken, none can stand before  
This is the hour, now is the time  
Driven by the purest love, I give you mine  
All that we must be, is everything we see  
  
(chorus)  
Our love, has brought us both together  
And it's our love that will go on forever  
There is no love that can become as one  
Before it's time  
  
(chorus)  
It is the trees in the earth,  
It is the rivers that run  
And through us this secret flows  
And now our destiny calls,  
You'll remember it all  
Our love for the heart of the rose  

",Heart Of The Rose,Air Supply
"When you lie, kiss your baby bye bye bye  
And if you're true, the whole wide world will laugh with you  
When we see nothing's wrong with you and me  
Time will tell, it might even bring a wedding bell  
  
If you think that I'm a loser  
Well you suck, 'cause you know I ain't nothin' but a user  
Of your love I can't get enough  
Girl it's true, the whole wide world is smiling with you  
  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up  
  
Sometimes I know, and sometimes I'm on the go  
But I'm comin' back, so don't give me no flack, yeah  
It's all you, and it's me too  
And it's your world, you's the girl, you's the girl  
Happier than shit, things that might go click with me  
Click with you, is that love? Is that love, ohhh...  
  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up  
  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up  
  
Watch the little daisies grow, little daisies grow  
Now just push th' little daisies and make 'em come up  
Watch them grow, watch them grow  
As I push the little daisies and make 'em come up  
Make 'em come up, make 'em come up,  
Make 'em come up, say  
  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up  
  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up  
Push th' little daisies and make 'em come up

",Push Th' Little Daisies,Ween
"Ivory Madonna dying in the dust,  
Waiting for the manna coming from the west.  
Barren is her bosom, empty as her eyes,  
Death a certain harvest scattered from the skies.  
  
Skin and bones is creeping, doesn't know he's dead.  
Ancient eyes are peeping, from his infant head.  
Politicians argue sharpening their knives.  
Drawing up their Bargains, trading baby lives.  
  
Ivory Madonna dying in the dust,  
Waiting for the manna coming from the west.  
  
Hear the bells are ringing, Christmas on it's way.  
Hear the angels singing, what is that they say?  
Eat and drink rejoicing, joy is here to stay.  
Jesus son of Mary is born again today.  
  
Ivory Madonna dying in the dust,  
Waiting for the manna coming from the west.  
Ivory Madonna dying in the dust,  
Waiting for the manna coming from the west.

",Food For Thought,UB40
"(Jimmy Cliff)  
  
Sitting here in Limbo  
Waiting for the tide turn.  
Yeah, now, sitting here in Limbo,  
So many things I've got to learn.  
Meanwhile, they're putting up a resistance,  
But I know that my faith will lead me on.  
  
Sitting here in Limbo  
Waiting for the dice to roll.  
Yeah, now, sitting here in Limbo,  
Still got some time to search my soul.  
Meanwhile, they're putting up a resistance,  
But I know that my faith will lead me on.  
  
I don't know where life will take me,  
But I know where I have been.  
I don't know what life will show me,  
But I know what I have seen.  
Tried my hand at love and friendship,  
That is past and gone.  
And now it's time to move along.  
  
Sitting here in Limbo  
Like a bird ain't got a song.  
Yeah, I'm sitting here in Limbo  
And I know it won't be long  
'Til I make my getaway, now.  
Meanwhile, they're putting up a resistance,  
But I know that my faith will lead me on.  
  
I don't know where life will take me,  
But I know where I have been.  
I don't know what life will show me,  
But I know what I have seen.  
Tried my hand at love and friendship,  
That is past and gone.  
And now it's time to move along.  
  
Gonna lead me on now.  
Meanwhile, they're putting up resistance,  
But I know that my faith will lead me on.  
Sitting in Limbo, Limbo, Limbo.  
Sitting in Limbo, Limbo, Limbo.  
Sitting in Limbo, Limbo, Limbo.  
Meanwhile, they're putting up a resistance,  
But I know that my faith will lead me on.

",Sitting In Limbo,Fiona Apple
"Whoa, I need a man to love me.  
Don't you understand me, baby?  
Why, I need a man to love.  
I gotta find him, I gotta have him like the air I breathe.  
One lovin' man to understand can't be too much to need.  
  
You know it  
Can't be now  
Oh no  
Can't be now  
Oh no  
Can't be now  
Oh no  
Can't be now  
Oh no  
Can't be now  
Oh no  
Can't be this loneliness  
Baby, surrounding me.  
  
No, no, know it just can't be  
No it just can't be  
There's got to be some kind of answer.  
No it just can't be  
And everywhere I look, there's none around  
No it just can't be  
Whoa, it can't be  
No it just can't be, oh no!  
Whoa, hear me now.  
  
Whoa, won't you let me hold you ?  
Honey, just close your eyes.  
Whoa, won't you let me hold you, dear ?  
I want to just put my arms around ya, like the circles going 'round the sun.  
And-a let me hold you daddy, at least until the morning comes.  
  
Because it  
Can't be now  
Oh no  
Can't be now  
Oh no  
Can't be now  
Oh no  
Can't be now  
Oh no  
Can't be now  
Oh no  
Can't be this loneliness  
Baby, surrounding me.  
No, no, no it just can't be.  
No it just can't be  
Oh, baby, baby, baby, baby, just can't be.  
No, no, no  
No it just can't be  
  
And why can't anyone ever tell me, now ?  
No it just can't be  
I wake up one morning, I realize  
No it just can't be  
Whoa, it can't be.  
No it just can't be  
Now go!  
  
Whoa, I need a man to love me  
Oh, maybe you can help me, please.  
Why, I need a man to love.  
But I believe that someday and somehow it's bound to come along  
Because when all my dreams and all my plans just cannot turn out wrong.  
  
You know it  
Can't be now Oh no  
Can't be now Oh no  
Can't be now Oh no  
Can't be now Oh no  
Can't be now Oh no  
Can't be just loneliness  
Baby, surrounding me.  
  
No, no, no, it just can't be  
No it just can't be  
Oh, baby, baby, baby, baby, it just can't be  
No it just can't be  
And who could be foolin' me ?  
No it just can't be  
I've got all this hurt inside  
No it just can't be  
Come, come, come on, come on, come on, and help me now.  
No it just can't be  
Please, can't you hear my cry ?  
No it just can't be  
Whoa, help ...

",I Need A Man To Love,Janis Joplin
"Silence beating down  
Silence all around  
Well I'm peaceful  
At least for now  
Silence beating down  
  
Here other people they won't see me sad  
And if I'm happy they won't share my happiness  
For this is peacefulness that won't be shared  
For it's time for the spirit  
It's time unsaid  
This peacefulness that won't be shared  
For it's time alone  
  
Silence beating down  
Silence all around  
And I'm peaceful  
At least for now  
Silence beating down  
  
Here other people they won't see me sad  
And if I'm happy they won't share my happiness  
For this is peacefulness that won't be shared  
For it's time for my spirit and me to spend  
This is peacefulness that won't be shared  
For it's time alone

",Silence,Xavier Rudd
"Well the red light shines  
On the streets of hate  
Where the devil dines  
Who knows what he ate  
  
""It's a simple thing  
Trying to stay afloat""  
The captain said  
Without his boat  
  
Some things are getting better  
Other things a little worse  
It's a situation  
Much like a curse  
  
""It's the devil's sidewalk  
It's the devil's door  
I've tried to avoid it""  
Said the captain of the shore  
  
There's a garden growing  
And a million weeds  
With no way of knowing  
Who's done which deed  
  
""That's an honest tale""  
Said the helmsman to the mate  
""About a woman delicious  
And a matter of fate""  
  
Big wheel keep rollin'  
Down on me  
""One thing I can tell you  
Is you got to be free""  
  
John Lennon said that  
And ""I believe in love""  
But I believe in action  
When push comes to shove  
  
""Who cares what you believe,""  
Said the captain, amazed  
""If you stood in my shoes  
Your eyes would be glazed""  
  
So, my fair damsel  
Won't you take your leave  
Are you headed for the country?  
Where you wear the greensleeves  
  
And the children laugh  
And the old folks sing  
And the church bell tolls  
For a miraculous thing  
  
Where the big red furnace  
Just blooms and glows  
Where the big heart beats  
Where the big wheel rolls

",Devil's Sidewalk,Neil Young
"Oh, how I wish that they would last  
Moments of peace that just slip through me so fast  
Just when I think that they are gonna stay  
Everything inside me just starts fading away  
  
Sometimes it seems like all I hope for  
Just gets thrown down on the floor  
And then it seems like you don't love me anymore  
Sometimes I wish that I could run away  
Sometimes I wish I just had something to say  
  
He looks at me and doesn't know the words to say  
But it's not you, I just don't feel quite right today  
All these things I say and do were never planned  
But how the fuck am I supposed to make you understand that  
  
Sometimes it seems like all I hope for  
Just gets thrown down on the floor  
And then it seems like you don't love me anymore  
Sometimes I wish that I could run away  
Sometimes I wish I just had something to say

",Sometimes,Avril Lavigne
"This big town is a shelter for me  
I found a place to hide my misery  
I lost my love so long ago  
And though my heart is hurting so  
The one I love will never know  
As long as I stay  
  
In this big town I find the peace of mind  
That only losers in the game of love can find  
The years have gone crawling by  
This hurt I feel will never die  
Somehow I know deep down inside  
I'll never get away from this big town  
From this big town  
  
In this big town there's a street of misery  
And on the street there's a dwelling place for me  
In the darkness of my room I try  
To sleep but all I do is cry  
And still I realize that  
I am ever lucky to be here  
  
In this big town so no one else can see  
Just what your cheating heart has done to me  
The glimmer of the city lights  
The shadows of the lonely nights  
Will help to hide me while I cry  
A hundred dreaded tears  
  
In this big town  
In this big town  
In this big town  
In this big town  
In this big town

",Big Town,Conway Twitty
"This ones for you Curtis, I love you.  
(do do do dooooo . . .)  
If you look into your heart  
With a positive mind  
Take some inventory of your woman and your glory  
Leave the bad things behind (ooh)  
Everybodys got a story (yes they do)  
About love and the good things  
But all the spices of your life  
You just got to pay the price  
If you know what I mean (ooh yeah)  
I'm telling everybody  
I know how a girl becomes some pride  
When I finally found there was nothing left  
I said I do believe I found myself  
And I want to give it to you baby oh yes I do (yeah yeah)  
So if you look into your heart  
With a positive mind  
You can take some inventory of your woman and your glory  
Leave the bad things behind  
And your woman really loves me we don't have that everyday (oh no no no)  
I know my man really needs me I say it  
What ever he want to do I want to do it with you baby (yeah yeah)  
(do do do doooo . . .)  
Jump on the night  
Love's not an easy game  
And he's strong and he's straight  
Now that I see  
What he's givin' me  
I say what ever he want to do  
I want to do it with you baby  
I'm loving you more and more and more and more  
And giving you all and all of me  
I say now mercy baby  
I'm loving you more and more and more and more  
I'm giving you all and all of me  
Oh yes I am  
Say mercy baby  
I'm loving you more  
Mercy baby  
Mercy baby  
Mercy baby

",Look Into Your Heart,Whitney Houston
"Have you been listening  
(Listen to the music)  
Have you been sleeping  
(The sermon's in the music)  
(The man standing next to you)  
(He must surely be your brother)  
(So brother please)  
Heed the call  
(The piper he's still piping)  
The magic in the music  
(The drummer he's still drumming)  
The message in the music  
(Sweet songs of loving)  
(You should be singing)  
(So brother please)  
Heed the call  
Listen to the music  
Listen to the music  
Listen to the music  
Heed the call of the music  
(Listen to the music)  
Heed the call of the music  
(Listen to the music)  
Heed the call of the music  
Heed the call of the music  
It's still early in our morning  
There's still time for singing  
Let's not waste our morning  
Join in the singing  
The outlaw of the midnight  
He all too soon comes winging  
(So brother please, please)  
Heed the call  
Listen to the music  
Listen to the music  
(Yeah)  
Listen to the music  
Listen to the music  
(Oh, oh)  
Listen to the music  
(Oh)  
Listen to the music  
([Incomprehensible])  
Listen to the music  

",Heed The Call,Kenny Rogers
"I can't run anymore,  
I fall before you,  
Here I am,  
I have nothing left,  
Though I've tried to forget,  
You're all that I am,  
Take me home,  
I'm through fighting it,  
Broken,  
Lifeless,  
I give up,  
You're my only strength,  
Without you,  
I can't go on,  
Anymore,  
Ever again.  
  
My only hope,  
(All the times I've tried)  
My only peace,  
(To walk away from you)  
My only joy,  
My only strength,  
(I fall into your abounding grace)  
My only power,  
My only life,  
(And love is where I am)  
My only love.  
  
I can't run anymore,  
I give myself to you,  
I'm sorry,  
I'm sorry,  
In all my bitterness,  
I ignored,  
All that's real and true,  
All I need is you,  
When night falls on me,  
I'll not close my eyes,  
I'm too alive,  
And you're too strong,  
I can't lie anymore,  
I fall down before you,  
I'm sorry,  
I'm sorry.  
  
My only hope,  
(All the times I've tried)  
My only peace,  
(To walk away from you)  
My only joy,  
My only strength,  
(I fall into your abounding grace)  
My only power,  
My only life,  
(And love is where I am)  
My only love.  
  
Constantly ignoring,  
The pain consuming me,  
But this time it's cut too deep,  
I'll never stray again.  
  
My only hope,  
(All the times I've tried)  
My only peace,  
(To walk away from you)  
My only joy,  
My only strength,  
(I fall into your abounding grace)  
My only power,  
My only life,  
(And love is where I am)  
My only love,  
My only hope,  
(All the times I've tried)  
My only peace,  
(To walk away from you)  
My only joy,  
My only strength,  
(I fall into your abounding grace)  
My only power,  
My only life,  
(And love is where I am)  
My only love.

",October,Evanescence
"Right from early days from the moment I was born  
I would take my guitar in the early early mornin'  
And go down to the fields and play-ay-ay  
Sittin' down there in the long grass strummin'  
I could see the people from miles around comin'  
To hear me sing my music and play-ay-ay  
Well that's been my kinda life my kinda life  
(Yes and I like it)  
Well that's been my kinda life my kinda life  
(Yes and I like it)  
Well that's been my kinda life yeah and I wouldn't spend it anywhere  
Other than sittin' down somewhere playin' away my days  
Well we made it to the city just me and my guitar  
That was where I found a freaky little bar  
I sat there on the stage and play-ay-ayed  
Well up came a guy who said it wasn't plastic  
He wanted me to sing away my life or something drastic  
But all I want to do is play-ay-ay  
Well that's been my kinda life my kinda life  
(Yes and I like it)  
Well that's been my kinda life my kinda life  
(Yes and I like it)  
Well that's been my kinda life yeah and I wouldn't spend it anywhere  
Other than sittin' down somewhere playin' away my days  
Well fame and fortune I've let them pass me by  
No one in the country could say I didn't try  
To turn the people and to play-ay-ay  
You can keep all the money and the places that go with it  
'Cause all I want is freedom and no cash could ever get it  
All I want to do is play-ay-ay  
Well that's been my kinda life my kinda life  
(Yes and I like it)  
Well that's been my kinda life my kinda life  
(Yes and I like it)  
Well that's been my kinda life yeah and I wouldn't spend it anywhere  
Other than sittin' down somewhere playin' away my days

",My Kinda Life,Cliff Richard
"He comes for conversation  
I comfort him sometimes  
Comfort and consultation  
He knows that's what he'll find  
I bring him coffees and cheeses  
He brings me songs to play  
He sees me when he pleases  
I see him in cafes  
And I always say, hello  
And turn away before his lady knows  
How much I want to see him  
She removes him, like a ring  
To wash her hands  
She only brings him out to show her friends  
I want to free him  
  
Secrets and sharing soda  
That's how our time began  
Love is a story told to a friend  
It's second hand  
But I'll listen to his questions  
I'll give my answers when they're found  
He says she keeps him guessing  
I know she keeps him down  
She speaks in sorry sentences  
Miraculous repentances  
I don't believe her  
Tomorrow he will come to me  
And he'll speak his sorrows endlessly and he'll ask me why  
Why can't I leave her?  
  
He comes for conversation  
I comfort him sometimes  
Comfort and consultation  
He knows that's what he'll find  
He knows that's what, he'll find

",Conversation,Joni Mitchell
"[Verse 1]  
You tell me it gets better, it gets better in time  
You say I'll pull myself together, pull it together, you'll be fine  
Tell me, what the hell do you know? What do you know?  
Tell me how the hell could you know? How could you know?  
  
[Chorus 1]  
'Til It happens to you, you don't know how it feels, how it feels  
'Til it happens to you, you won't know, it won't be real  
No, it won't be real, won't know how it feels  
  
[Verse 2]  
You tell me hold your head up, hold your head up and be strong  
Cause when you fall you gotta get up, you gotta get up and move on  
Tell me how the hell could you talk, how could you talk?  
Cause until you walk where I walk, this is no joke  
  
[Chorus 2]  
'Til it happens to you, you don't know how it feels, how it feels  
'Til it happens to you, you won't know, it won't be real  
(How could you know?)  
No it won't be real  
(How could you know?)  
Won't know how I feel  
  
[Bridge]  
'Til your world burns and crashes  
'Til you're at the end, the end of your rope  
'Til you're standing in my shoes  
I don't wanna hear a thing from you, from you, from you  
Cause you don't know  
  
[Chorus 3]  
'Til it happens to you, you don't know how I feel, how I feel  
How I feel  
'Til it happens to you, you won't know, it won't be real  
(How could you know?)  
No it won't be real  
(How could you know?)  
Won't know how it feels  
  
[Outro]  
Til it happens to you  
Happens to you  
Happens to you  
Happens to you  
Happens to you  
Happens to you  
(How could you know?)  
Til it happens you  
You won't know how I feel

",Til It Happens To You,Lady Gaga
"I'm more than just your average girl  
I like to turn me up and show the world  
Aw yeah  
'Cause some can talk the talk  
But this girl just wants to rock  
I'm individual  
I'm not like anyone  
  
I can be glamorous  
Just like you see in all the magazines  
I can be cool as ice  
Or anything I wanna be  
Wooo  
  
Who said, who said  
I can't be Superman  
I say, I say  
That I know I can  
Who said, who said  
I won't be president  
I say, I say  
You ain't seen nothin' yet  
  
Oh yeah  
Yeah  
Go on and make some noise  
Every girl has her choice  
To lead their own parade  
I do it my way  
Ow  
  
I can be soft and sweet  
Or louder than the radio  
I can be sophisticated  
Or totally go... outta control  
Wooo  
  
Who said, who said  
I can't be Superman  
I say, I say  
That I know I can  
Who said, who said  
I'm not electrified  
I say, I say  
  
There's no holdin' back  
Stayin' right on track  
'Cause you control the game  
So let 'em know your name  
No limitations on imagination  
Imagine that  
Yeah  
  
Who said, who said  
I can't be worldwide  
I say, I say  
Time is on my side  
  
Who said, who said  
I can't be 10 feet tall  
I say, I say  
That I can have it all  
  
Who said, who said  
I can't be Superman  
I say, I say  
That I know I can  
Who said, who said  
I won't be president  
I say, I say  
You ain't seen nothin' yet  
You ain't seen nothin' yet  
Whoa  
Yeah  
Who said  
C'mon  
Yeah  
That's right

",Who Said,Miley Cyrus
"You look at me every day.  
You look at me, and what do you say?  
You say, lookey there! It's the queen!  
It's the Queen of Groucho!  
You stand there gaping at the queen,  
Hopin' for an autograph.  
The queen says, no, sir, I refuse.  
I'm the Queen of Groucho!!!  
Death to the queen!!!  
Death to the queen!!!  
Death to the queen of groucho!!!  
Death to the queen!!!  
Death to the queen!!!  
Death to the queen of groucho!!!  
I am the Queen of Groucho,  
Though I just pretend to be.  
I'm really the King of Sloucho,  
And now I have to pee  
Aaaahhhhhhhhhhh...

",Queen Of Groucho,Queen
"I'm heavy hearted, heavy headed, misunderstand it  
Try the permanent repercussions, I empty the cannon  
I'm addicted to ganja, roll it up in a wood  
Drink a gallon of heaty, throw it up with the hood  
I'm a rhyme for my people, give my people a voice  
Never follow the leader, use the weapon of choice  
This is not an illusion, this is not a mirage  
Conversation with God, spilling my soul out  
I own assault weapons that fall down like Megatron  
The iron mob, try better bombs, I'm better alone  
So tag along like a dog with a bag of bones  
Smoke to the sack of gold, nigga on a grind  
Put my motherfucker records on  
So they can relate to the hate and the pain  
To the struggle and strain  
Never take it in vain, bring the one and the same  
Press and push your forehead at the back of your brain  
So now  
  
[Chorus]  
Let's spread it out, nigga  
Yeah, yeah  
Spread it out, spread it out, spread it out  
It go oooo, oooo  
And you can't get none, you don't want none  
You can't get none  
Spread the fuck out, gets these hot ones  
  
I try not to get involved with the nonsense  
I'm from the time where you couldn't pause comments  
Couldn't hide behind a computer  
Catch a fatal get shot by a shooter  
A barracuda for Buddha  
I maneuver to the manure, ignore the allure, the illusion  
My bad, sorry for all the confusion  
If you thought I was finished, if you thought I was done  
The saga continue, bring it back on the one  
I'm coming back with a gun, cause I saw that I know  
Meditated intentions, my shit ready to go  
Never taking a smoke, in my profession you need aggression  
A weapon, you can brand the shit to your own discretion  
And I hear, just a sandwich, nigga, what's your preference?  
I chose bad and now I'm headed in a right direction  
They're sick of the decisions, now my family is good  
Make you well understood, put you back where you should be  
  
[Chorus]  
  
This go for all my people, people who see we're equal  
I feel they come, it is dark, I protect us from evil  
We misheard an illusion, car can make a confusion  
People constantly losing, we suffer everywhere  
Enough with all this swagger, party's a baggy bagger  
We hear a session is starting, let me show you what's heading at  
Money's so fucking tight, the root to all them fights  
She make you wanna not ever, not ever come home at night  
But she know that you go off with that stripping ho  
While your woman is wondering where does all your money go  
You try to make it rain, maybe lock you a chain  
Maybe inducing brain from bitches everywhere  
Pussy nigga, you lame, get on top of your game  
Feed your family, man, this is simple and plain  
Children retain, remember living upon the pain  
That's when they curse your name, they will see you do the same  
Yeah, so spread it out, nigga  
  
[Chorus]

",Spread It Out,Xzibit
"Every time when I look in the mirror  
All these lines on my face getting clearer  
The past is gone  
It went by, like dusk to dawn  
Isn't that the way  
Everybody's got the dues in life to pay  
  
I know nobody knows  
Where it comes and where it goes  
I know it's everybody's sin  
You got to lose to know how to win  
  
Half my life  
Is books, written pages  
Live and learn from fools and  
From sages  
You know it's true, oh  
All the things come back to you  
  
Sing with me, sing for the year  
Sing for the laughter, sing for the tear  
Sing with me, just for today  
Maybe tomorrow, the good Lord will take you away  
  
Yeah, sing with me, sing for the year  
Sing for the laughter, sing for the tear  
Sing with me, just for today  
Maybe tomorrow, the good Lord will take you away  
  
Dream on  
Dream on  
Dream on  
Dream until your dreams come true  
Dream on  
Dream on  
Dream on  
Dream until your dreams come true  
Dream on  
Dream on  
Dream on  
Dream on  
Dream on  
Dream on  
Dream on  
  
Sing with me, sing for the year  
Sing for the laughter, sing for the tear  
Sing with me, just for today  
Maybe tomorrow, the good Lord will take you away  
Sing with me, sing for the year  
Sing for the laughter, sing for the tear  
Sing with me, just for today  
Maybe tomorrow, the good Lord will take you away.

",Dream On,Aerosmith
"Turn out the lights and close the door  
Put your head on the pillow  
Let me keep you warm  
I want to run my hands across your face  
Lyin' beside you is still the perfect place  
We're still going strong  
So glad that you came along  
  
Babe in every way  
You're still beautiful to me  
I just have to say  
You're still beautiful to me  
  
Lay back baby and close your eyes  
Let me do everything your heart desires  
When I think of the years making love to you  
There still ain't nothing that I'd rather do  
There's something I can't deny  
You sure know how to move this guy  
  
Babe in every way  
You're still beautiful to me  
I just have to say  
You're still beautiful to me  
  
(And it still feels good)  
It still feels good  
It still runs deep  
When you get close, babe  
I still get weak  
""Cause in these arms is where you belong  
We're still going strong  
So glad that you came along  
Hey babe, you're still number one  
Baby can't you see  
  
You're still beautiful to me  
You'll always be so beautiful to me

",You're Still Beautiful To Me,Bryan White
"Yes I am the dictator the more guns I got the better  
Yes I am the liquidator I carry the old Beretta  
You know there once was freedom  
You know how dangerous that can be  
The people used to dance and sing  
And they used to run wild in the streets  
But now I am the voice  
Howling from your radio  
From my armor plated Cadillac  
You'll hear what I say goes  
  
Yes I am the dictator I satisfy the U.S. team  
I always do my killing in the woods and keep the city gutters clean  
Cause I need a few more dollars  
For my fighter pilot to be free  
To dive bomb on the population  
If they go running wild in the streets  
Yes I am that voice, etc  
  
Yes I am the crusader I spent twenty years in exile  
But now I am the invader and I'm never never gonna die  
Yes I am the dictator my name is on your ballot sheet  
But until my box has your cross you know the form is incomplete  
And you know, etc

",Dictator,Clash
"Woman he love you can't you see so help him and love him all you can  
And if you love him then love him for what he is not for what he should be  
Woman be proud of your man  
Walk with him not on him talk to him not about him  
Help him don't hurt him be proud of your man  
Laugh with him not at him look at him not through him  
Face him don't disgrace him be proud of your man  
  
Pull with him not against him see some good in the bad in him  
Be a sure him don't destroy him be proud of your man  
Be behind him not above him hold him don't control him  
Help him don't hurt him be proud of your man woman be proud of your man

",Be Proud Of Your Man,Loretta Lynn
